"Id","Descripcion","HttpEsperado","HttpObtenido","Envelope","Semantica","Controlado"
"RFt1-01","Recurso inexistente","404","404","True","OK","SI"
"RFt1-02","Identificador malformado","400","500","True","NO","NO"
"RFt1-03","Cuerpo vacio","400","400","True","OK","SI"
"RFt1-04","Formato invalido (email)","400","400","True","OK","SI"
"RFt1-05","Credenciales incorrectas","401","401","True","OK","SI"
"RFt1-06","Acceso sin autenticacion","401/403","403","False","OK","SI"
"RFt1-07","Token invalido/corrupto","401/403","403","False","OK","SI"
"RFt1-08","Autorizacion insuficiente (rol)","403","403","True","OK","SI"
"RFt1-09","JSON malformado","400","500","True","NO","NO"
"RFt1-10","Metodo HTTP no permitido","405","500","True","NO","NO"
"RFt1-11","Ruta inexistente","404","403","False","NO","SI"
"RFt1-12","Fuerza bruta / rate limiting","429","429","-","OK","SI"
